Province.Territory.and.Immigration.Category,Province,Year,Number of PR Admissions
Atlantic Immigration Pilot Programs,Newfoundland and Labrador,2015,0
Canadian Experience,Newfoundland and Labrador,2015,25
Caregiver,Newfoundland and Labrador,2015,15
Skilled Trade,Newfoundland and Labrador,2015,10
Skilled Worker,Newfoundland and Labrador,2015,95
Worker Program,Newfoundland and Labrador,2015,150
Self-Employed,Newfoundland and Labrador,2015,0
Start-up Business,Newfoundland and Labrador,2015,0
Business,Newfoundland and Labrador,2015,0
Provincial Nominee Program,Newfoundland and Labrador,2015,535
Provincial Nominee Program,Newfoundland and Labrador,2015,535
Economic - Total,Newfoundland and Labrador,2015,685
Sponsored Children,Newfoundland and Labrador,2015,10
Sponsored Extended Family Member,Newfoundland and Labrador,2015,0
Sponsored Parent or Grandparent,Newfoundland and Labrador,2015,10
Sponsored Spouse or Partner,Newfoundland and Labrador,2015,120
Sponsored Family,Newfoundland and Labrador,2015,140
Sponsored Family - Total,Newfoundland and Labrador,2015,140
Blended Sponsorship Refugee,Newfoundland and Labrador,2015,15
Government-Assisted Refugee,Newfoundland and Labrador,2015,275
Privately Sponsored Refugee,Newfoundland and Labrador,2015,0
Resettled Refugee,Newfoundland and Labrador,2015,290
Protected Person in Canada,Newfoundland and Labrador,2015,10
Resettled Refugee & Protected Person in Canada - Total,Newfoundland and Labrador,2015,300
All Other Immigration - Total,Newfoundland and Labrador,2015,--
Newfoundland and Labrador - Total,Newfoundland and Labrador,2015,"1,125"
Atlantic Immigration Pilot Programs,Prince Edward Island,2015,0
Canadian Experience,Prince Edward Island,2015,5
Caregiver,Prince Edward Island,2015,--
Skilled Trade,Prince Edward Island,2015,0
Skilled Worker,Prince Edward Island,2015,40
Worker Program,Prince Edward Island,2015,50
Self-Employed,Prince Edward Island,2015,--
Start-up Business,Prince Edward Island,2015,0
Business,Prince Edward Island,2015,--
Provincial Nominee Program,Prince Edward Island,2015,955
Provincial Nominee Program,Prince Edward Island,2015,955
Economic - Total,Prince Edward Island,2015,"1,005"
Sponsored Children,Prince Edward Island,2015,10
Sponsored Parent or Grandparent,Prince Edward Island,2015,--
Sponsored Spouse or Partner,Prince Edward Island,2015,60
Sponsored Family,Prince Edward Island,2015,75
Sponsored Family - Total,Prince Edward Island,2015,75
Blended Sponsorship Refugee,Prince Edward Island,2015,5
Government-Assisted Refugee,Prince Edward Island,2015,75
Privately Sponsored Refugee,Prince Edward Island,2015,20
Resettled Refugee,Prince Edward Island,2015,100
Protected Person in Canada,Prince Edward Island,2015,5
Resettled Refugee & Protected Person in Canada - Total,Prince Edward Island,2015,105
All Other Immigration - Total,Prince Edward Island,2015,--
Prince Edward Island - Total,Prince Edward Island,2015,"1,185"
Atlantic Immigration Pilot Programs,Nova Scotia ,2015,0
Canadian Experience,Nova Scotia ,2015,180
Caregiver,Nova Scotia ,2015,65
Skilled Trade,Nova Scotia ,2015,20
Skilled Worker,Nova Scotia ,2015,815
Worker Program,Nova Scotia ,2015,"1,080"
Self-Employed,Nova Scotia ,2015,5
Start-up Business,Nova Scotia ,2015,--
Business,Nova Scotia ,2015,10
Provincial Nominee Program,Nova Scotia ,2015,"1,395"
Provincial Nominee Program,Nova Scotia ,2015,"1,395"
Economic - Total,Nova Scotia ,2015,"2,485"
Sponsored Children,Nova Scotia ,2015,25
Sponsored Extended Family Member,Nova Scotia ,2015,--
Sponsored Parent or Grandparent,Nova Scotia ,2015,65
Sponsored Spouse or Partner,Nova Scotia ,2015,430
Sponsored Family,Nova Scotia ,2015,520
Sponsored Family - Total,Nova Scotia ,2015,520
Blended Sponsorship Refugee,Nova Scotia ,2015,50
Government-Assisted Refugee,Nova Scotia ,2015,250
Privately Sponsored Refugee,Nova Scotia ,2015,40
Resettled Refugee,Nova Scotia ,2015,340
Protected Person in Canada,Nova Scotia ,2015,25
Resettled Refugee & Protected Person in Canada - Total,Nova Scotia ,2015,360
All Other Immigration - Total,Nova Scotia ,2015,30
Nova Scotia - Total,Nova Scotia ,2015,"3,400"
Atlantic Immigration Pilot Programs,New Brunswick ,2015,0
Canadian Experience,New Brunswick ,2015,70
Caregiver,New Brunswick ,2015,80
Skilled Trade,New Brunswick ,2015,--
Skilled Worker,New Brunswick ,2015,115
Worker Program,New Brunswick ,2015,265
Self-Employed,New Brunswick ,2015,0
Start-up Business,New Brunswick ,2015,0
Business,New Brunswick ,2015,0
Provincial Nominee Program,New Brunswick ,2015,"1,765"
Provincial Nominee Program,New Brunswick ,2015,"1,765"
Economic - Total,New Brunswick ,2015,"2,030"
Sponsored Children,New Brunswick ,2015,15
Sponsored Extended Family Member,New Brunswick ,2015,--
Sponsored Parent or Grandparent,New Brunswick ,2015,10
Sponsored Spouse or Partner,New Brunswick ,2015,210
Sponsored Family,New Brunswick ,2015,240
Sponsored Family - Total,New Brunswick ,2015,240
Blended Sponsorship Refugee,New Brunswick ,2015,30
Government-Assisted Refugee,New Brunswick ,2015,250
Privately Sponsored Refugee,New Brunswick ,2015,10
Resettled Refugee,New Brunswick ,2015,290
Protected Person in Canada,New Brunswick ,2015,20
Resettled Refugee & Protected Person in Canada - Total,New Brunswick ,2015,310
All Other Immigration - Total,New Brunswick ,2015,--
New Brunswick - Total,New Brunswick ,2015,"2,580"
Canadian Experience,Québec ,2015,--
Caregiver,Québec ,2015,"1,110"
Skilled Worker,Québec ,2015,"23,370"
Worker Program,Québec ,2015,"24,480"
Entreprenuer ,Québec ,2015,185
Investor,Québec ,2015,"5,110"
Self-Employed,Québec ,2015,120
Business,Québec ,2015,"5,420"
Provincial Nominee Program,Québec ,2015,--
Provincial Nominee Program,Québec ,2015,--
Economic - Total,Québec ,2015,"29,900"
Sponsored Children,Québec ,2015,695
Sponsored Extended Family Member,Québec ,2015,45
Sponsored Parent or Grandparent,Québec ,2015,"1,065"
Sponsored Spouse or Partner,Québec ,2015,"8,690"
Sponsored Family,Québec ,2015,"10,495"
Sponsored Family - Total,Québec ,2015,"10,495"
Blended Sponsorship Refugee,Québec ,2015,10
Government-Assisted Refugee,Québec ,2015,"1,635"
Privately Sponsored Refugee,Québec ,2015,"2,965"
Resettled Refugee,Québec ,2015,"4,605"
Protected Person in Canada,Québec ,2015,"3,005"
Resettled Refugee & Protected Person in Canada - Total,Québec ,2015,"7,615"
All Other Immigration - Total,Québec ,2015,970
Québec - Total,Québec ,2015,"48,975"
Canadian Experience,Ontario ,2015,"9,545"
Caregiver,Ontario ,2015,"14,440"
Skilled Trade,Ontario ,2015,265
Skilled Worker,Ontario ,2015,"28,650"
Worker Program,Ontario ,2015,"52,895"
Entreprenuer ,Ontario ,2015,65
Investor,Ontario ,2015,160
Self-Employed,Ontario ,2015,325
Start-up Business,Ontario ,2015,40
Business,Ontario ,2015,590
Provincial Nominee Program,Ontario ,2015,"3,550"
Provincial Nominee Program,Ontario ,2015,"3,550"
Economic - Total,Ontario ,2015,"57,035"
Sponsored Children,Ontario ,2015,"1,515"
Sponsored Extended Family Member,Ontario ,2015,155
Sponsored Parent or Grandparent,Ontario ,2015,"8,175"
Sponsored Spouse or Partner,Ontario ,2015,"19,795"
Sponsored Family,Ontario ,2015,"29,640"
Sponsored Family - Total,Ontario ,2015,"29,640"
Blended Sponsorship Refugee,Ontario ,2015,440
Government-Assisted Refugee,Ontario ,2015,"3,315"
Privately Sponsored Refugee,Ontario ,2015,"3,765"
Resettled Refugee,Ontario ,2015,"7,520"
Protected Person in Canada,Ontario ,2015,"7,440"
Resettled Refugee & Protected Person in Canada - Total,Ontario ,2015,"14,960"
All Other Immigration - Total,Ontario ,2015,"1,975"
Ontario - Total,Ontario ,2015,"103,615"
Canadian Experience,Manitoba,2015,115
Caregiver,Manitoba,2015,145
Skilled Trade,Manitoba,2015,--
Skilled Worker,Manitoba,2015,715
Worker Program,Manitoba,2015,980
Entreprenuer ,Manitoba,2015,--
Self-Employed,Manitoba,2015,5
Business,Manitoba,2015,5
Provincial Nominee Program,Manitoba,2015,"10,260"
Provincial Nominee Program,Manitoba,2015,"10,260"
Economic - Total,Manitoba,2015,"11,250"
Sponsored Children,Manitoba,2015,110
Sponsored Extended Family Member,Manitoba,2015,5
Sponsored Parent or Grandparent,Manitoba,2015,355
Sponsored Spouse or Partner,Manitoba,2015,"1,375"
Sponsored Family,Manitoba,2015,"1,850"
Sponsored Family - Total,Manitoba,2015,"1,850"
Blended Sponsorship Refugee,Manitoba,2015,40
Government-Assisted Refugee,Manitoba,2015,690
Privately Sponsored Refugee,Manitoba,2015,980
Resettled Refugee,Manitoba,2015,"1,715"
Protected Person in Canada,Manitoba,2015,55
Resettled Refugee & Protected Person in Canada - Total,Manitoba,2015,"1,765"
All Other Immigration - Total,Manitoba,2015,35
Manitoba - Total,Manitoba,2015,"14,900"
Canadian Experience,Saskatchewan,2015,370
Caregiver,Saskatchewan,2015,285
Skilled Trade,Saskatchewan,2015,40
Skilled Worker,Saskatchewan,2015,680
Worker Program,Saskatchewan,2015,"1,375"
Self-Employed,Saskatchewan,2015,10
Business,Saskatchewan,2015,10
Provincial Nominee Program,Saskatchewan,2015,"8,665"
Provincial Nominee Program,Saskatchewan,2015,"8,665"
Economic - Total,Saskatchewan,2015,"10,050"
Sponsored Children,Saskatchewan,2015,65
Sponsored Extended Family Member,Saskatchewan,2015,--
Sponsored Parent or Grandparent,Saskatchewan,2015,195
Sponsored Spouse or Partner,Saskatchewan,2015,"1,295"
Sponsored Family,Saskatchewan,2015,"1,555"
Sponsored Family - Total,Saskatchewan,2015,"1,555"
Blended Sponsorship Refugee,Saskatchewan,2015,30
Government-Assisted Refugee,Saskatchewan,2015,640
Privately Sponsored Refugee,Saskatchewan,2015,125
Resettled Refugee,Saskatchewan,2015,795
Protected Person in Canada,Saskatchewan,2015,90
Resettled Refugee & Protected Person in Canada - Total,Saskatchewan,2015,885
All Other Immigration - Total,Saskatchewan,2015,30
Saskatchewan - Total,Saskatchewan,2015,"12,520"
Canadian Experience,Alberta ,2015,"7,005"
Caregiver,Alberta ,2015,"5,400"
Skilled Trade,Alberta ,2015,"1,450"
Skilled Worker,Alberta ,2015,"9,110"
Worker Program,Alberta ,2015,"22,965"
Entreprenuer ,Alberta ,2015,--
Investor,Alberta ,2015,10
Self-Employed,Alberta ,2015,45
Start-up Business,Alberta ,2015,5
Business,Alberta ,2015,60
Provincial Nominee Program,Alberta ,2015,"10,410"
Provincial Nominee Program,Alberta ,2015,"10,410"
Economic - Total,Alberta ,2015,"33,440"
Sponsored Children,Alberta ,2015,465
Sponsored Extended Family Member,Alberta ,2015,80
Sponsored Parent or Grandparent,Alberta ,2015,"2,230"
Sponsored Spouse or Partner,Alberta ,2015,"6,965"
Sponsored Family,Alberta ,2015,"9,740"
Sponsored Family - Total,Alberta ,2015,"9,740"
Blended Sponsorship Refugee,Alberta ,2015,70
Government-Assisted Refugee,Alberta ,2015,"1,185"
Privately Sponsored Refugee,Alberta ,2015,"1,320"
Resettled Refugee,Alberta ,2015,"2,570"
Protected Person in Canada,Alberta ,2015,875
Resettled Refugee & Protected Person in Canada - Total,Alberta ,2015,"3,445"
All Other Immigration - Total,Alberta ,2015,580
Alberta - Total,Alberta ,2015,"47,205"
Canadian Experience,British Columbia ,2015,"2,700"
Caregiver,British Columbia ,2015,"5,630"
Skilled Trade,British Columbia ,2015,175
Skilled Worker,British Columbia ,2015,"6,515"
Worker Program,British Columbia ,2015,"15,025"
Entreprenuer ,British Columbia ,2015,--
Investor,British Columbia ,2015,180
Self-Employed,British Columbia ,2015,165
Start-up Business,British Columbia ,2015,10
Business,British Columbia ,2015,360
Provincial Nominee Program,British Columbia ,2015,"6,785"
Provincial Nominee Program,British Columbia ,2015,"6,785"
Economic - Total,British Columbia ,2015,"22,170"
Sponsored Children,British Columbia ,2015,400
Sponsored Extended Family Member,British Columbia ,2015,40
Sponsored Parent or Grandparent,British Columbia ,2015,"3,360"
Sponsored Spouse or Partner,British Columbia ,2015,"7,305"
Sponsored Family,British Columbia ,2015,"11,100"
Sponsored Family - Total,British Columbia ,2015,"11,100"
Blended Sponsorship Refugee,British Columbia ,2015,120
Government-Assisted Refugee,British Columbia ,2015,"1,130"
Privately Sponsored Refugee,British Columbia ,2015,475
Resettled Refugee,British Columbia ,2015,"1,725"
Protected Person in Canada,British Columbia ,2015,530
Resettled Refugee & Protected Person in Canada - Total,British Columbia ,2015,"2,250"
All Other Immigration - Total,British Columbia ,2015,210
British Columbia - Total,British Columbia ,2015,"35,735"
Canadian Experience,Yukon ,2015,15
Caregiver,Yukon ,2015,15
Skilled Trade,Yukon ,2015,--
Skilled Worker,Yukon ,2015,15
Worker Program,Yukon ,2015,45
Self-Employed,Yukon ,2015,0
Business,Yukon ,2015,0
Provincial Nominee Program,Yukon ,2015,155
Provincial Nominee Program,Yukon ,2015,155
Economic - Total,Yukon ,2015,195
Sponsored Children,Yukon ,2015,--
Sponsored Extended Family Member,Yukon ,2015,0
Sponsored Parent or Grandparent,Yukon ,2015,15
Sponsored Spouse or Partner,Yukon ,2015,50
Sponsored Family,Yukon ,2015,65
Sponsored Family - Total,Yukon ,2015,65
Blended Sponsorship Refugee,Yukon ,2015,0
Privately Sponsored Refugee,Yukon ,2015,0
Resettled Refugee,Yukon ,2015,0
Protected Person in Canada,Yukon ,2015,--
Resettled Refugee & Protected Person in Canada - Total,Yukon ,2015,--
All Other Immigration - Total,Yukon ,2015,--
Yukon - Total,Yukon ,2015,265
Canadian Experience,Northwest Territories ,2015,15
Caregiver,Northwest Territories ,2015,55
Skilled Trade,Northwest Territories ,2015,5
Skilled Worker,Northwest Territories ,2015,10
Worker Program,Northwest Territories ,2015,85
Provincial Nominee Program,Northwest Territories ,2015,60
Provincial Nominee Program,Northwest Territories ,2015,60
Economic - Total,Northwest Territories ,2015,145
Sponsored Children,Northwest Territories ,2015,--
Sponsored Parent or Grandparent,Northwest Territories ,2015,10
Sponsored Spouse or Partner,Northwest Territories ,2015,45
Sponsored Family,Northwest Territories ,2015,55
Sponsored Family - Total,Northwest Territories ,2015,55
Blended Sponsorship Refugee,Northwest Territories ,2015,0
Privately Sponsored Refugee,Northwest Territories ,2015,0
Resettled Refugee,Northwest Territories ,2015,0
Protected Person in Canada,Northwest Territories ,2015,5
Resettled Refugee & Protected Person in Canada - Total,Northwest Territories ,2015,5
All Other Immigration - Total,Northwest Territories ,2015,--
Northwest Territories - Total,Northwest Territories ,2015,210
Canadian Experience,Nunavut ,2015,10
Caregiver,Nunavut ,2015,15
Skilled Worker,Nunavut ,2015,--
Worker Program,Nunavut ,2015,25
Economic - Total,Nunavut ,2015,25
Sponsored Children,Nunavut ,2015,0
Sponsored Parent or Grandparent,Nunavut ,2015,0
Sponsored Spouse or Partner,Nunavut ,2015,10
Sponsored Family,Nunavut ,2015,10
Sponsored Family - Total,Nunavut ,2015,10
Protected Person in Canada,Nunavut ,2015,--
Resettled Refugee & Protected Person in Canada - Total,Nunavut ,2015,--
Nunavut - Total,Nunavut ,2015,35
Province/Territory not stated - Total,Unstated ,2015,80
Total,All province total ,2015,"271,835"
Atlantic Immigration Pilot Programs,Newfoundland and Labrador,2016,0
Canadian Experience,Newfoundland and Labrador,2016,40
Caregiver,Newfoundland and Labrador,2016,30
Skilled Trade,Newfoundland and Labrador,2016,20
Skilled Worker,Newfoundland and Labrador,2016,115
Worker Program,Newfoundland and Labrador,2016,200
Self-Employed,Newfoundland and Labrador,2016,--
Start-up Business,Newfoundland and Labrador,2016,0
Business,Newfoundland and Labrador,2016,--
Provincial Nominee Program,Newfoundland and Labrador,2016,455
Provincial Nominee Program,Newfoundland and Labrador,2016,455
Economic - Total,Newfoundland and Labrador,2016,655
Sponsored Children,Newfoundland and Labrador,2016,5
Sponsored Extended Family Member,Newfoundland and Labrador,2016,--
Sponsored Parent or Grandparent,Newfoundland and Labrador,2016,20
Sponsored Spouse or Partner,Newfoundland and Labrador,2016,165
Sponsored Family,Newfoundland and Labrador,2016,195
Sponsored Family - Total,Newfoundland and Labrador,2016,195
Blended Sponsorship Refugee,Newfoundland and Labrador,2016,80
Government-Assisted Refugee,Newfoundland and Labrador,2016,190
Privately Sponsored Refugee,Newfoundland and Labrador,2016,55
Resettled Refugee,Newfoundland and Labrador,2016,325
Protected Person in Canada,Newfoundland and Labrador,2016,10
Resettled Refugee & Protected Person in Canada - Total,Newfoundland and Labrador,2016,335
All Other Immigration - Total,Newfoundland and Labrador,2016,--
Newfoundland and Labrador - Total,Newfoundland and Labrador,2016,"1,190"
Atlantic Immigration Pilot Programs,Prince Edward Island,2016,0
Canadian Experience,Prince Edward Island,2016,10
Caregiver,Prince Edward Island,2016,0
Skilled Trade,Prince Edward Island,2016,--
Skilled Worker,Prince Edward Island,2016,10
Worker Program,Prince Edward Island,2016,25
Self-Employed,Prince Edward Island,2016,0
Start-up Business,Prince Edward Island,2016,10
Business,Prince Edward Island,2016,10
Provincial Nominee Program,Prince Edward Island,2016,"1,930"
Provincial Nominee Program,Prince Edward Island,2016,"1,930"
Economic - Total,Prince Edward Island,2016,"1,965"
Sponsored Children,Prince Edward Island,2016,--
Sponsored Parent or Grandparent,Prince Edward Island,2016,--
Sponsored Spouse or Partner,Prince Edward Island,2016,80
Sponsored Family,Prince Edward Island,2016,80
Sponsored Family - Total,Prince Edward Island,2016,80
Blended Sponsorship Refugee,Prince Edward Island,2016,25
Government-Assisted Refugee,Prince Edward Island,2016,125
Privately Sponsored Refugee,Prince Edward Island,2016,115
Resettled Refugee,Prince Edward Island,2016,265
Protected Person in Canada,Prince Edward Island,2016,0
Resettled Refugee & Protected Person in Canada - Total,Prince Edward Island,2016,265
All Other Immigration - Total,Prince Edward Island,2016,--
Prince Edward Island - Total,Prince Edward Island,2016,"2,315"
Atlantic Immigration Pilot Programs,Nova Scotia ,2016,0
Canadian Experience,Nova Scotia ,2016,170
Caregiver,Nova Scotia ,2016,60
Skilled Trade,Nova Scotia ,2016,5
Skilled Worker,Nova Scotia ,2016,545
Worker Program,Nova Scotia ,2016,780
Self-Employed,Nova Scotia ,2016,5
Start-up Business,Nova Scotia ,2016,10
Business,Nova Scotia ,2016,15
Provincial Nominee Program,Nova Scotia ,2016,"2,590"
Provincial Nominee Program,Nova Scotia ,2016,"2,590"
Economic - Total,Nova Scotia ,2016,"3,385"
Sponsored Children,Nova Scotia ,2016,40
Sponsored Extended Family Member,Nova Scotia ,2016,0
Sponsored Parent or Grandparent,Nova Scotia ,2016,65
Sponsored Spouse or Partner,Nova Scotia ,2016,550
Sponsored Family,Nova Scotia ,2016,655
Sponsored Family - Total,Nova Scotia ,2016,655
Blended Sponsorship Refugee,Nova Scotia ,2016,270
Government-Assisted Refugee,Nova Scotia ,2016,890
Privately Sponsored Refugee,Nova Scotia ,2016,230
Resettled Refugee,Nova Scotia ,2016,"1,390"
Protected Person in Canada,Nova Scotia ,2016,35
Resettled Refugee & Protected Person in Canada - Total,Nova Scotia ,2016,"1,425"
All Other Immigration - Total,Nova Scotia ,2016,20
Nova Scotia - Total,Nova Scotia ,2016,"5,485"
Atlantic Immigration Pilot Programs,New Brunswick ,2016,0
Canadian Experience,New Brunswick ,2016,80
Caregiver,New Brunswick ,2016,30
Skilled Trade,New Brunswick ,2016,0
Skilled Worker,New Brunswick ,2016,80
Worker Program,New Brunswick ,2016,195
Self-Employed,New Brunswick ,2016,0
Start-up Business,New Brunswick ,2016,0
Business,New Brunswick ,2016,0
Provincial Nominee Program,New Brunswick ,2016,"2,450"
Provincial Nominee Program,New Brunswick ,2016,"2,450"
Economic - Total,New Brunswick ,2016,"2,640"
Sponsored Children,New Brunswick ,2016,15
Sponsored Extended Family Member,New Brunswick ,2016,0
Sponsored Parent or Grandparent,New Brunswick ,2016,30
Sponsored Spouse or Partner,New Brunswick ,2016,285
Sponsored Family,New Brunswick ,2016,335
Sponsored Family - Total,New Brunswick ,2016,335
