Province/Territory and Immigration Category,Province,2015,2016,2017,2018
Atlantic Immigration Pilot Programs,Newfoundland and Labrador,0,0,0,140
Canadian Experience,Newfoundland and Labrador,25,40,135,105
Caregiver,Newfoundland and Labrador,15,30,35,45
Skilled Trade,Newfoundland and Labrador,10,20,15,0
Skilled Worker,Newfoundland and Labrador,95,115,75,70
Worker Program,Newfoundland and Labrador,150,200,260,365
Self-Employed,Newfoundland and Labrador,0,--,0,0
Start-up Business,Newfoundland and Labrador,0,0,0,--
Business,Newfoundland and Labrador,0,--,0,--
Provincial Nominee Program,Newfoundland and Labrador,535,455,435,530
Provincial Nominee Program,Newfoundland and Labrador,535,455,435,530
Economic - Total,Newfoundland and Labrador,685,655,690,895
Sponsored Children,Newfoundland and Labrador,10,5,--,--
Sponsored Extended Family Member,Newfoundland and Labrador,0,--,0,--
Sponsored Parent or Grandparent,Newfoundland and Labrador,10,20,20,15
Sponsored Spouse or Partner,Newfoundland and Labrador,120,165,175,135
Sponsored Family,Newfoundland and Labrador,140,195,200,155
Sponsored Family - Total,Newfoundland and Labrador,140,195,200,155
Blended Sponsorship Refugee,Newfoundland and Labrador,15,80,50,--
Government-Assisted Refugee,Newfoundland and Labrador,275,190,165,175
Privately Sponsored Refugee,Newfoundland and Labrador,0,55,50,60
Resettled Refugee,Newfoundland and Labrador,290,325,265,240
Protected Person in Canada,Newfoundland and Labrador,10,10,10,15
Resettled Refugee & Protected Person in Canada - Total,Newfoundland and Labrador,300,335,280,255
All Other Immigration - Total,Newfoundland and Labrador,--,--,--,0
Newfoundland and Labrador - Total,Newfoundland and Labrador,"1,125","1,190","1,170","1,305"
Atlantic Immigration Pilot Programs,Prince Edward Island,0,0,20,165
Canadian Experience,Prince Edward Island,5,10,65,55
Caregiver,Prince Edward Island,--,0,0,--
Skilled Trade,Prince Edward Island,0,--,--,5
Skilled Worker,Prince Edward Island,40,10,15,15
Worker Program,Prince Edward Island,50,25,105,245
Self-Employed,Prince Edward Island,--,0,5,0
Start-up Business,Prince Edward Island,0,10,10,15
Business,Prince Edward Island,--,10,15,15
Provincial Nominee Program,Prince Edward Island,955,"1,930","2,050","1,450"
Provincial Nominee Program,Prince Edward Island,955,"1,930","2,050","1,450"
Economic - Total,Prince Edward Island,"1,005","1,965","2,170","1,710"
Sponsored Children,Prince Edward Island,10,--,5,5
Sponsored Parent or Grandparent,Prince Edward Island,--,--,10,5
Sponsored Spouse or Partner,Prince Edward Island,60,80,70,80
Sponsored Family,Prince Edward Island,75,80,85,90
Sponsored Family - Total,Prince Edward Island,75,80,85,90
Blended Sponsorship Refugee,Prince Edward Island,5,25,15,0
Government-Assisted Refugee,Prince Edward Island,75,125,30,45
Privately Sponsored Refugee,Prince Edward Island,20,115,40,20
Resettled Refugee,Prince Edward Island,100,265,85,65
Protected Person in Canada,Prince Edward Island,5,0,--,--
Resettled Refugee & Protected Person in Canada - Total,Prince Edward Island,105,265,90,70
All Other Immigration - Total,Prince Edward Island,--,--,--,0
Prince Edward Island - Total,Prince Edward Island,"1,185","2,315","2,350","1,870"
Atlantic Immigration Pilot Programs,Nova Scotia ,0,0,15,320
Canadian Experience,Nova Scotia ,180,170,235,330
Caregiver,Nova Scotia ,65,60,75,65
Skilled Trade,Nova Scotia ,20,5,15,5
Skilled Worker,Nova Scotia ,815,545,235,265
Worker Program,Nova Scotia ,"1,080",780,575,980
Self-Employed,Nova Scotia ,5,5,5,--
Start-up Business,Nova Scotia ,--,10,--,--
Business,Nova Scotia ,10,15,5,5
Provincial Nominee Program,Nova Scotia ,"1,395","2,590","2,735","3,160"
Provincial Nominee Program,Nova Scotia ,"1,395","2,590","2,735","3,160"
Economic - Total,Nova Scotia ,"2,485","3,385","3,315","4,150"
Sponsored Children,Nova Scotia ,25,40,35,25
Sponsored Extended Family Member,Nova Scotia ,--,0,0,--
Sponsored Parent or Grandparent,Nova Scotia ,65,65,105,65
Sponsored Spouse or Partner,Nova Scotia ,430,550,565,495
Sponsored Family,Nova Scotia ,520,655,710,590
Sponsored Family - Total,Nova Scotia ,520,655,710,590
Blended Sponsorship Refugee,Nova Scotia ,50,270,45,60
Government-Assisted Refugee,Nova Scotia ,250,890,210,170
Privately Sponsored Refugee,Nova Scotia ,40,230,185,195
Resettled Refugee,Nova Scotia ,340,"1,390",445,425
Protected Person in Canada,Nova Scotia ,25,35,35,45
Resettled Refugee & Protected Person in Canada - Total,Nova Scotia ,360,"1,425",480,470
All Other Immigration - Total,Nova Scotia ,30,20,10,15
Nova Scotia - Total,Nova Scotia ,"3,400","5,485","4,515","5,225"
Atlantic Immigration Pilot Programs,New Brunswick ,0,0,45,565
Canadian Experience,New Brunswick ,70,80,125,180
Caregiver,New Brunswick ,80,30,25,15
Skilled Trade,New Brunswick ,--,0,--,5
Skilled Worker,New Brunswick ,115,80,65,140
Worker Program,New Brunswick ,265,195,270,905
Self-Employed,New Brunswick ,0,0,--,0
Start-up Business,New Brunswick ,0,0,5,10
Business,New Brunswick ,0,0,5,10
Provincial Nominee Program,New Brunswick ,"1,765","2,450","2,585","2,440"
Provincial Nominee Program,New Brunswick ,"1,765","2,450","2,585","2,440"
Economic - Total,New Brunswick ,"2,030","2,640","2,860","3,360"
Sponsored Children,New Brunswick ,15,15,15,10
Sponsored Extended Family Member,New Brunswick ,--,0,--,--
Sponsored Parent or Grandparent,New Brunswick ,10,30,50,25
Sponsored Spouse or Partner,New Brunswick ,210,285,275,285
Sponsored Family,New Brunswick ,240,335,340,325
Sponsored Family - Total,New Brunswick ,240,335,340,325
Blended Sponsorship Refugee,New Brunswick ,30,185,35,--
Government-Assisted Refugee,New Brunswick ,250,"1,475",355,240
Privately Sponsored Refugee,New Brunswick ,10,15,45,45
Resettled Refugee,New Brunswick ,290,"1,680",435,285
Protected Person in Canada,New Brunswick ,20,5,5,10
Resettled Refugee & Protected Person in Canada - Total,New Brunswick ,310,"1,685",440,295
All Other Immigration - Total,New Brunswick ,--,15,5,10
New Brunswick - Total,New Brunswick ,"2,580","4,675","3,650","3,995"
Canadian Experience,Québec ,--,0,0,0
Caregiver,Québec ,"1,110","1,110",810,775
Skilled Worker,Québec ,"23,370","25,855","24,865","22,160"
Worker Program,Québec ,"24,480","26,970","25,675","22,935"
Entreprenuer ,Québec ,185,130,220,125
Investor,Québec ,"5,110","4,425","4,330","3,440"
Self-Employed,Québec ,120,75,35,35
Business,Québec ,"5,420","4,635","4,590","3,595"
Provincial Nominee Program,Québec ,--,0,0,0
Provincial Nominee Program,Québec ,--,0,0,0
Economic - Total,Québec ,"29,900","31,605","30,265","26,535"
Sponsored Children,Québec ,695,695,780,635
Sponsored Extended Family Member,Québec ,45,70,70,80
Sponsored Parent or Grandparent,Québec ,"1,065","1,265","1,970","1,415"
Sponsored Spouse or Partner,Québec ,"8,690","9,095","9,310","7,605"
Sponsored Family,Québec ,"10,495","11,125","12,135","9,740"
Sponsored Family - Total,Québec ,"10,495","11,125","12,135","9,740"
Blended Sponsorship Refugee,Québec ,10,10,0,0
Government-Assisted Refugee,Québec ,"1,635","2,970","1,525","1,015"
Privately Sponsored Refugee,Québec ,"2,965","4,170","4,810","3,855"
Resettled Refugee,Québec ,"4,605","7,150","6,335","4,870"
Protected Person in Canada,Québec ,"3,005","2,280","2,820","2,470"
Resettled Refugee & Protected Person in Canada - Total,Québec ,"7,615","9,435","9,155","7,340"
All Other Immigration - Total,Québec ,970,"1,085",845,695
Québec - Total,Québec ,"48,975","53,245","52,395","44,310"
Canadian Experience,Ontario ,"9,545","7,355","19,500","15,820"
Caregiver,Ontario ,"14,440","9,330","11,135","8,355"
Skilled Trade,Ontario ,265,330,305,255
Skilled Worker,Ontario ,"28,650","23,675","15,095","30,980"
Worker Program,Ontario ,"52,895","40,695","46,035","55,410"
Entreprenuer ,Ontario ,65,10,--,0
Investor,Ontario ,160,90,20,10
Self-Employed,Ontario ,325,370,235,215
Start-up Business,Ontario ,40,45,55,40
Business,Ontario ,590,515,310,265
Provincial Nominee Program,Ontario ,"3,550","3,910","6,985","9,930"
Provincial Nominee Program,Ontario ,"3,550","3,910","6,985","9,930"
Economic - Total,Ontario ,"57,035","45,120","53,325","65,605"
Sponsored Children,Ontario ,"1,515","1,725","1,470","1,335"
Sponsored Extended Family Member,Ontario ,155,155,120,110
Sponsored Parent or Grandparent,Ontario ,"8,175","9,070","10,530","7,005"
Sponsored Spouse or Partner,Ontario ,"19,795","24,200","24,630","22,115"
Sponsored Family,Ontario ,"29,640","35,145","36,745","30,565"
Sponsored Family - Total,Ontario ,"29,640","35,145","36,745","30,565"
Blended Sponsorship Refugee,Ontario ,440,"2,360",740,255
Government-Assisted Refugee,Ontario ,"3,315","9,910","3,375","2,590"
Privately Sponsored Refugee,Ontario ,"3,765","7,680","6,565","7,205"
Resettled Refugee,Ontario ,"7,520","19,945","10,680","10,050"
Protected Person in Canada,Ontario ,"7,440","8,240","9,510","9,410"
Resettled Refugee & Protected Person in Canada - Total,Ontario ,"14,960","28,190","20,190","19,460"
All Other Immigration - Total,Ontario ,"1,975","1,570","1,685","1,690"
Ontario - Total,Ontario ,"103,615","110,020","111,945","117,320"
Canadian Experience,Manitoba,115,115,235,320
Caregiver,Manitoba,145,95,75,45
Skilled Trade,Manitoba,--,20,20,0
Skilled Worker,Manitoba,715,490,295,475
Worker Program,Manitoba,980,720,625,840
Entreprenuer ,Manitoba,--,0,0,0
Self-Employed,Manitoba,5,10,--,10
Business,Manitoba,5,10,--,10
Provincial Nominee Program,Manitoba,"10,260","9,960","9,430","8,790"
Provincial Nominee Program,Manitoba,"10,260","9,960","9,430","8,790"
Economic - Total,Manitoba,"11,250","10,690","10,060","9,645"
Sponsored Children,Manitoba,110,110,115,110
Sponsored Extended Family Member,Manitoba,5,5,10,--
Sponsored Parent or Grandparent,Manitoba,355,435,450,375
Sponsored Spouse or Partner,Manitoba,"1,375","1,825","1,900","1,660"
Sponsored Family,Manitoba,"1,850","2,375","2,475","2,145"
Sponsored Family - Total,Manitoba,"1,850","2,375","2,475","2,145"
Blended Sponsorship Refugee,Manitoba,40,320,90,65
Government-Assisted Refugee,Manitoba,690,"1,270",605,405
Privately Sponsored Refugee,Manitoba,980,"2,075","1,365",765
Resettled Refugee,Manitoba,"1,715","3,665","2,055","1,235"
Protected Person in Canada,Manitoba,55,70,80,85
Resettled Refugee & Protected Person in Canada - Total,Manitoba,"1,765","3,735","2,135","1,320"
All Other Immigration - Total,Manitoba,35,25,35,35
Manitoba - Total,Manitoba,"14,900","16,825","14,705","13,145"
Canadian Experience,Saskatchewan,370,280,435,385
Caregiver,Saskatchewan,285,220,335,235
Skilled Trade,Saskatchewan,40,35,40,15
Skilled Worker,Saskatchewan,680,530,305,515
Worker Program,Saskatchewan,"1,375","1,070","1,115","1,150"
Self-Employed,Saskatchewan,10,0,--,5
Business,Saskatchewan,10,0,--,5
Provincial Nominee Program,Saskatchewan,"8,665","9,900","10,530","10,145"
Provincial Nominee Program,Saskatchewan,"8,665","9,900","10,530","10,145"
Economic - Total,Saskatchewan,"10,050","10,970","11,645","11,305"
Sponsored Children,Saskatchewan,65,65,70,65
Sponsored Extended Family Member,Saskatchewan,--,5,--,5
Sponsored Parent or Grandparent,Saskatchewan,195,220,360,345
Sponsored Spouse or Partner,Saskatchewan,"1,295","1,665","1,570","1,170"
Sponsored Family,Saskatchewan,"1,555","1,960","2,000","1,585"
Sponsored Family - Total,Saskatchewan,"1,555","1,960","2,000","1,585"
Blended Sponsorship Refugee,Saskatchewan,30,165,40,30
Government-Assisted Refugee,Saskatchewan,640,"1,395",505,395
Privately Sponsored Refugee,Saskatchewan,125,265,395,430
Resettled Refugee,Saskatchewan,795,"1,825",935,855
Protected Person in Canada,Saskatchewan,90,75,80,50
Resettled Refugee & Protected Person in Canada - Total,Saskatchewan,885,"1,900","1,015",905
All Other Immigration - Total,Saskatchewan,30,30,15,25
Saskatchewan - Total,Saskatchewan,"12,520","14,860","14,675","13,820"
Canadian Experience,Alberta ,"7,005","6,930","6,125","2,295"
Caregiver,Alberta ,"5,400","3,830","5,245","3,780"
Skilled Trade,Alberta ,"1,450","1,595",795,240
Skilled Worker,Alberta ,"9,110","7,985","2,985","3,985"
Worker Program,Alberta ,"22,965","20,340","15,150","10,305"
Entreprenuer ,Alberta ,--,0,0,0
Investor,Alberta ,10,10,0,0
Self-Employed,Alberta ,45,15,15,40
Start-up Business,Alberta ,5,0,0,0
Business,Alberta ,60,20,15,40
Provincial Nominee Program,Alberta ,"10,410","8,070","7,195","9,340"
Provincial Nominee Program,Alberta ,"10,410","8,070","7,195","9,340"
Economic - Total,Alberta ,"33,440","28,430","22,360","19,685"
Sponsored Children,Alberta ,465,600,615,570
Sponsored Extended Family Member,Alberta ,80,100,100,95
Sponsored Parent or Grandparent,Alberta ,"2,230","2,620","3,510","2,885"
Sponsored Spouse or Partner,Alberta ,"6,965","9,695","10,025","7,660"
Sponsored Family,Alberta ,"9,740","13,015","14,250","11,210"
Sponsored Family - Total,Alberta ,"9,740","13,015","14,250","11,210"
Blended Sponsorship Refugee,Alberta ,70,355,105,60
Government-Assisted Refugee,Alberta ,"1,185","3,005","1,295",990
Privately Sponsored Refugee,Alberta ,"1,320","2,930","2,315","2,470"
Resettled Refugee,Alberta ,"2,570","6,285","3,715","3,520"
Protected Person in Canada,Alberta ,875,925,"1,230","1,140"
Resettled Refugee & Protected Person in Canada - Total,Alberta ,"3,445","7,215","4,945","4,660"
All Other Immigration - Total,Alberta ,580,540,535,585
Alberta - Total,Alberta ,"47,205","49,200","42,090","36,140"
Canadian Experience,British Columbia ,"2,700","2,815","5,860","4,945"
Caregiver,British Columbia ,"5,630","3,740","4,460","3,045"
Skilled Trade,British Columbia ,175,420,670,320
Skilled Worker,British Columbia ,"6,515","6,285","3,465","5,400"
Worker Program,British Columbia ,"15,025","13,255","14,455","13,715"
Entreprenuer ,British Columbia ,--,--,0,0
Investor,British Columbia ,180,40,25,0
Self-Employed,British Columbia ,165,210,140,140
Start-up Business,British Columbia ,10,45,65,105
Business,British Columbia ,360,295,230,245
Provincial Nominee Program,British Columbia ,"6,785","6,760","7,570","10,125"
Provincial Nominee Program,British Columbia ,"6,785","6,760","7,570","10,125"
Economic - Total,British Columbia ,"22,170","20,310","22,250","24,085"
Sponsored Children,British Columbia ,400,470,400,345
Sponsored Extended Family Member,British Columbia ,40,35,25,55
Sponsored Parent or Grandparent,British Columbia ,"3,360","3,300","3,470","2,670"
Sponsored Spouse or Partner,British Columbia ,"7,305","9,170","9,465","8,795"
Sponsored Family,British Columbia ,"11,100","12,970","13,360","11,865"
Sponsored Family - Total,British Columbia ,"11,100","12,970","13,360","11,865"
Blended Sponsorship Refugee,British Columbia ,120,645,175,110
Government-Assisted Refugee,British Columbia ,"1,130","2,390",740,635
Privately Sponsored Refugee,British Columbia ,475,"1,060","1,070","1,170"
Resettled Refugee,British Columbia ,"1,725","4,095","1,985","1,915"
Protected Person in Canada,British Columbia ,530,565,710,685
Resettled Refugee & Protected Person in Canada - Total,British Columbia ,"2,250","4,655","2,695","2,600"
All Other Immigration - Total,British Columbia ,210,135,130,150
British Columbia - Total,British Columbia ,"35,735","38,075","38,440","38,700"
Canadian Experience,Yukon ,15,5,10,15
Caregiver,Yukon ,15,10,--,10
Skilled Trade,Yukon ,--,0,0,0
Skilled Worker,Yukon ,15,15,10,10
Worker Program,Yukon ,45,30,20,35
Self-Employed,Yukon ,0,0,0,--
Business,Yukon ,0,0,0,--
Provincial Nominee Program,Yukon ,155,90,120,180
Provincial Nominee Program,Yukon ,155,90,120,180
Economic - Total,Yukon ,195,120,145,215
Sponsored Children,Yukon ,--,5,--,--
Sponsored Extended Family Member,Yukon ,0,0,0,--
Sponsored Parent or Grandparent,Yukon ,15,5,5,--
Sponsored Spouse or Partner,Yukon ,50,65,65,40
Sponsored Family,Yukon ,65,75,70,45
Sponsored Family - Total,Yukon ,65,75,70,45
Blended Sponsorship Refugee,Yukon ,0,10,0,10
Privately Sponsored Refugee,Yukon ,0,5,5,--
Resettled Refugee,Yukon ,0,15,5,10
Protected Person in Canada,Yukon ,--,0,--,--
Resettled Refugee & Protected Person in Canada - Total,Yukon ,--,15,10,10
All Other Immigration - Total,Yukon ,--,--,0,0
Yukon - Total,Yukon ,265,210,225,275
Canadian Experience,Northwest Territories ,15,15,15,20
Caregiver,Northwest Territories ,55,25,45,35
Skilled Trade,Northwest Territories ,5,--,--,0
Skilled Worker,Northwest Territories ,10,10,--,5
Worker Program,Northwest Territories ,85,55,70,65
Provincial Nominee Program,Northwest Territories ,60,65,105,115
Provincial Nominee Program,Northwest Territories ,60,65,105,115
Economic - Total,Northwest Territories ,145,120,175,175
Sponsored Children,Northwest Territories ,--,0,0,--
Sponsored Parent or Grandparent,Northwest Territories ,10,10,10,5
Sponsored Spouse or Partner,Northwest Territories ,45,45,50,50
Sponsored Family,Northwest Territories ,55,55,55,60
Sponsored Family - Total,Northwest Territories ,55,55,55,60
Blended Sponsorship Refugee,Northwest Territories ,0,5,0,--
Privately Sponsored Refugee,Northwest Territories ,0,--,0,--
Resettled Refugee,Northwest Territories ,0,10,0,5
Protected Person in Canada,Northwest Territories ,5,--,--,--
Resettled Refugee & Protected Person in Canada - Total,Northwest Territories ,5,10,--,10
All Other Immigration - Total,Northwest Territories ,--,--,--,--
Northwest Territories - Total,Northwest Territories ,210,185,240,245
Canadian Experience,Nunavut ,10,--,5,0
Caregiver,Nunavut ,15,10,--,5
Skilled Worker,Nunavut ,--,5,--,0
Worker Program,Nunavut ,25,20,10,5
Economic - Total,Nunavut ,25,20,10,5
Sponsored Children,Nunavut ,0,0,--,--
Sponsored Parent or Grandparent,Nunavut ,0,--,0,0
Sponsored Spouse or Partner,Nunavut ,10,15,25,10
Sponsored Family,Nunavut ,10,15,30,10
Sponsored Family - Total,Nunavut ,10,15,30,10
Protected Person in Canada,Nunavut ,--,--,--,--
Resettled Refugee & Protected Person in Canada - Total,Nunavut ,--,--,--,--
Nunavut - Total,Nunavut ,35,35,40,20
Province/Territory not stated - Total,Unstated ,80,55,40,10
Total,All province total ,"271,835","296,365","286,480","276,380"
